"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
1,"Sun Feb 16 2025 7:17:56 PM",1739733476,"Fastball","Y","-0.12","39.10",83.38,2049.1,1772.7,86.5,"01:30",0.9,13.6,16.9,"-","-","12.9","12.9","-3.51","1.34","4.19","1.82",1.9456977844238281,"30.11","1277838@1739733476","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
2,"Sun Feb 16 2025 7:18:28 PM",1739733508,"Slider","N","-2.85","50.04",80.13,1843,606.2,32.9,"00:12",0.9,12.7,-0.9,"-","-","6.8","0.0","-2.05","2.61","4.26","1.73",1.9325885772705078,"70.80","1277838@1739733508","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
3,"Sun Feb 16 2025 7:18:53 PM",1739733533,"Fastball","N","24.78","26.48",80.23,1875.9,1782.4,95,"01:58",0.9,9.6,14,"-","-","10.1","16.7","-0.96","1.05","3.96","1.78",1.9529438018798828,"18.16","1277838@1739733533","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
4,"Sun Feb 16 2025 7:19:32 PM",1739733572,"Slider","Y","-8.23","32.99",73.51,2050.8,610.2,29.8,"09:30",0.9,0.8,-4.8,"-","-","2.0","-7.6","-2.37","3.12","4.02","1.90",1.9336910247802734,"72.69","1277838@1739733572","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
5,"Sun Feb 16 2025 7:20:09 PM",1739733609,"Fastball","N","-34.16","14.41",85.12,2082.1,1790.1,86,"01:02",0.9,9.8,8,"-","-","15.7","9.4","-5.56","-0.75","4.19","1.60",1.9907245635986328,"30.71","1277838@1739733609","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
6,"Sun Feb 16 2025 7:20:34 PM",1739733634,"Fastball","N","-11.12","44.23",83.84,2144.9,1747,81.5,"01:00",0.9,14.9,4.6,"-","-","14.7","8.4","-3.42","1.51","4.17","1.78","-","35.46","1277838@1739733634","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
7,"Sun Feb 16 2025 7:21:44 PM",1739733704,"Slider","N","-26.16","33.25",77.94,2256.7,356,15.8,"11:06",0.9,4.2,-5.6,"-","-","3.3","-2.6","-3.88","2.37","3.99","1.86",1.9536418914794922,"80.92","1277838@1739733704","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
8,"Sun Feb 16 2025 7:22:09 PM",1739733729,"Fastball","N","-19.80","21.52",84.66,2085.3,1716,82.3,"00:54",0.9,12.2,5.2,"-","-","15.6","7.9","-4.14","-0.18","4.09","1.74",1.9290733337402344,"34.62","1277838@1739733729","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
9,"Sun Feb 16 2025 7:22:48 PM",1739733768,"Fastball","N","-17.04","39.97",83.95,2152.1,1670,77.6,"01:20",0.8,10.7,16.8,"-","-","12.8","10.7","-4.93","1.73","4.13","1.70",1.9982261657714844,"39.11","1277838@1739733768","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
10,"Sun Feb 16 2025 7:23:13 PM",1739733793,"Fastball","N","1.45","46.24",83.3,2104.7,1629,77.4,"01:18",0.9,12.6,14,"-","-","12.8","10.4","-3.04","2.25","4.04","1.77",1.8922653198242188,"39.29","1277838@1739733793","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
11,"Sun Feb 16 2025 7:23:45 PM",1739733825,"Slider","N","-20.44","30.01",79.45,2182.9,618.7,28.3,"11:48",0.9,9.7,-6.8,"-","-","6.5","-1.5","-3.30","1.42","4.04","1.93",1.8050613403320312,"73.53","1277838@1739733825","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
12,"Sun Feb 16 2025 7:24:20 PM",1739733860,"Fastball","N","-12.46","22.44",85.34,2070.2,1857.4,89.7,"00:54",0.8,10.4,5.5,"-","-","16.6","8.3","-3.43","-0.23","4.28","1.63",2.1061153411865234,"26.21","1277838@1739733860","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
13,"Sun Feb 16 2025 7:25:02 PM",1739733902,"Fastball","N","-15.96","26.99",85.26,2162.4,1844.8,85.3,"01:30",0.9,10.8,13.6,"-","-","12.8","12.9","-4.47","0.47","4.05","1.64",2.0082130432128906,"31.45","1277838@1739733902","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
14,"Sun Feb 16 2025 7:25:27 PM",1739733927,"Slider","N","-17.70","31.86",76.02,2204.7,516.2,23.4,"10:04",0.9,7.3,-4.1,"-","-","3.1","-5.5","-3.16","2.10","3.98","1.76",2.016735076904297,"76.46","1277838@1739733927","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
15,"Sun Feb 16 2025 7:25:57 PM",1739733957,"Slider","Y","0.46","42.01",78.48,2271.2,588.9,25.9,"10:48",0.9,-0.1,-4,"-","-","4.9","-4.3","-1.56","3.61","3.85","1.81",2.0121517181396484,"74.97","1277838@1739733957","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
16,"Sun Feb 16 2025 7:26:28 PM",1739733988,"Fastball","N","-13.98","26.60",78.75,1598.9,1424.7,89.1,"02:14",0.8,2.7,11,"-","-","6.6","15.6","-4.52","1.96","3.86","2.06",2.038074493408203,"26.99","1277838@1739733988","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
17,"Sun Feb 16 2025 7:27:15 PM",1739734035,"Fastball","N","-13.34","29.66",83.46,2061.7,1764.3,85.6,"01:30",0.9,10.3,11.3,"-","-","12.7","12.5","-4.18","0.87","4.06","1.76",2.0899696350097656,"31.16","1277838@1739734035","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
