"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle","Session Name","Intent Type","Release Extension (ft)"
1,"Sat Sep 20 2025 4:03:47 PM",1758384227,"Slider","N",-12.3,22.41,65.92,2158.66,945.4,43.8,"07:54",1,-2,-12.1,"-","-",-4.4,-7.3,-2.21,1.52,4.93,1.4,64.03,"1501260@1758384227","V3P4EAHH4756A",1,-10.512368,24.948713,1,0,0.7483463,0.044388734,0.6618213,-0.65262645,-0.12906666,0.74660593,0.118559964,-0.9906419,-0.0676173,-3.831154,-9.516871,"untitled","-","-"
2,"Sat Sep 20 2025 4:03:25 PM",1758384205,"Slider","N",-13.64,33.32,68.33,2191.28,833.3,38.03,"07:56",1,1.1,-13.8,"-","-",-6.2,-10.4,-1.95,3.47,4.65,1.61,67.65,"1501260@1758384205","V3P4EAHH4756A",1,-3.2443428,45.03969,1,0,0.34574756,0.32081318,0.8817808,-0.93119395,0.0016557269,0.36452,0.11548295,-0.9471409,0.29931185,-4.007958,-8.043443,"untitled","-",5.12367159571449
3,"Sat Sep 20 2025 4:03:03 PM",1758384183,"Fastball","N",-12.96,36.13,87.2,1801.65,1743.6,96.78,"01:56",1,9.3,15.4,"-","-",10.6,17.8,-3.6,0.94,4.99,0.99,14.59,"1501260@1758384183","V3P4EAHH4756A",1,-16.48966,18.280577,1,0,0.85563207,0.15982722,-0.4922895,-0.15440246,0.9866407,0.05196198,0.49401778,0.031550374,0.8688792,-0.68086237,-5.535664,"untitled","-",5.77366569119067
4,"Sat Sep 20 2025 4:02:44 PM",1758384164,"Slider","N",-22.13,35.69,67.55,2064.57,748,36.23,"07:48",1,-0.1,-13.9,"-","-",-6.3,-9.3,-2.27,3.74,4.72,1.6,68.76,"1501260@1758384164","V3P4EAHH4756A",1,-12.302024,49.033985,1,0,0.43282026,0.397537,0.8090927,-0.89807695,0.11223091,0.42527875,0.07825881,-0.91069674,0.4055946,-5.2353687,-8.003332,"untitled","-",5.440855979398711
5,"Sat Sep 20 2025 4:02:24 PM",1758384144,"Fastball","N",-27.65,33.89,87.3,1860.54,1804.5,96.99,"01:46",1,17.1,16.6,"-","-",12.1,16.9,-5.05,0.02,4.96,1,14.1,"1501260@1758384144","V3P4EAHH4756A",1,-6.4940677,10.138081,1,0,0.9426087,0.10123309,-0.3181835,-0.039411858,0.980003,0.19504079,0.33156538,-0.17130694,0.9277491,-1.8808509,-4.9119697,"untitled","-",6.025970153516431
6,"Sat Sep 20 2025 4:01:46 PM",1758384106,"Slider","-","-","-",67.36,2017.66,834.6,41.37,"07:46",1,"-","-","-","-",-6.8,-9.9,-1.57,2.69,4.67,1.64,65.56,"1501260@1758384106","V3P4EAHH4756A",1,-32.8146,171.58391,0.5,0,0.9975185,0.06606338,-0.02434007,-0.06953793,0.8704092,-0.48739338,-0.011013037,0.4878765,0.87284315,"-","-","untitled","-",5.717227370894911
7,"Sat Sep 20 2025 4:01:21 PM",1758384081,"Fastball","Y",-6.82,31.2,86.5,1835.79,1821.4,99.22,"02:00",1,15.1,17.9,"-","-",10.4,19.2,-3.54,-0.02,5.04,1.25,7.18,"1501260@1758384081","V3P4EAHH4756A",1,-18.421783,20.534872,1,0,0.81623274,0.08915995,-0.57080173,-0.18830281,0.9751226,-0.11695311,0.5461741,0.20294455,0.812716,-0.14429414,-5.507168,"untitled","-",5.43867192427728
8,"Sat Sep 20 2025 4:01:03 PM",1758384063,"Slider","N",-7.04,48.51,67.08,2105.75,763.1,36.24,"07:44",1,0.5,-15.4,"-","-",-6.5,-9,-1.5,4.96,4.72,1.6,68.75,"1501260@1758384063","V3P4EAHH4756A",1,-3.8096588,16.563976,1,0,0.8431728,-0.024826003,0.53706914,-0.5232254,-0.26767102,0.8090655,0.12367206,-0.9631903,-0.23868251,-3.2749672,-7.0767555,"untitled","-",5.52510335485485
9,"Sat Sep 20 2025 4:00:33 PM",1758384033,"Fastball","Y",-3.04,41.55,87.9,1852.07,1806.8,97.56,"01:52",1,17.3,19,"-","-",11.6,17.6,-3.1,0.8,4.97,1.05,12.69,"1501260@1758384033","V3P4EAHH4756A",1,1.8421584,6.411093,1,0,0.95369416,0.06840575,-0.29289597,0.022095848,0.9552295,0.29503945,0.2999653,-0.28784922,0.90948534,0.5302293,-4.3726974,"untitled","-",5.797801846083
10,"Sat Sep 20 2025 4:00:19 PM",1758384019,"Fastball","Y",-4.76,37.1,85.2,1885.93,1873.2,99.32,"01:52",1,16.8,17.9,"-","-",11.9,18.5,-3.17,0.53,4.92,1.08,6.66,"1501260@1758384019","V3P4EAHH4756A",1,-20.1151,21.411402,1,0,0.8513836,0.06861998,-0.5200357,-0.17690429,0.97088575,-0.16151053,0.4938124,0.22950399,0.83873546,0.23139116,-4.7692275,"untitled","-",5.47158760674201
