
"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
1,"Sun Feb 16 2025 6:30:10 PM",1739730610,"Fastball","Y","-8.63","32.54",80.72,1884,1634.7,86.8,"01:50",0.9,18.9,16.2,"-","-","10.6","15.2","-5.03","-1.08","5.57","2.53",2.0618877,"-29.81","1269881@1739730610","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
2,"Sun Feb 16 2025 6:30:24 PM",1739730624,"Fastball","Y","5.90","23.75",82.23,1968.1,1700.3,86.4,"01:46",0.9,14.6,12.5,"-","-","10.9","14.3","-3.16","-1.74","5.61","2.30","-","-30.24","1269881@1739730624","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
3,"Sun Feb 16 2025 6:30:45 PM",1739730645,"Fastball","N","18.06","35.43",84.27,2038.7,1761.3,86.4,"01:40",0.9,17.4,17.3,"-","-","11.7","14.2","-3.14","-0.87","5.57","2.93",2.0896702,"-30.24","1269881@1739730645","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
4,"Sun Feb 16 2025 6:30:58 PM",1739730658,"Fastball","N","13.15","45.19",82.79,1904.8,1684.1,88.4,"01:28",0.9,18.2,15.6,"-","-","13.1","12.9","-3.15","-0.02","5.53","2.66",2.0964718,"-27.85","1269881@1739730658","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
5,"Sun Feb 16 2025 6:31:12 PM",1739730672,"Fastball","Y","1.42","37.32",83.4,1969.4,1700.9,86.4,"01:52",0.9,19.5,16,"-","-","10.2","15.3","-4.44","-0.64","5.37","2.85",2.0274677,"-30.27","1269881@1739730672","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
6,"Sun Feb 16 2025 6:31:31 PM",1739730691,"Fastball","N","13.90","42.57",83.85,2006.8,1748.1,87.1,"01:46",0.9,17.8,17.6,"-","-","11.1","14.9","-3.52","-0.20","5.48","2.90",2.0717506,"-29.42","1269881@1739730691","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
7,"Sun Feb 16 2025 6:31:48 PM",1739730708,"Fastball","N","17.54","48.42",82.67,1983.8,1722.2,86.8,"01:48",0.7,28.8,20.2,"-","-","10.9","15.2","-3.21","-0.80","5.62","2.73",1.9347725,"-29.76","1269881@1739730708","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
8,"Sun Feb 16 2025 6:32:12 PM",1739730732,"Fastball","N","32.50","55.27",83.82,2095.5,1797.5,85.8,"01:52",0.8,19.4,18.5,"-","-","10.5","15.6","-1.96","0.64","5.55","2.97",1.9422932,"-30.93","1269881@1739730732","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
9,"Sun Feb 16 2025 6:32:30 PM",1739730750,"Fastball","Y","1.58","39.04",82.11,1886.2,1675.5,88.8,"01:52",0.9,19.1,16.6,"-","-","10.1","15.0","-4.53","-0.59","5.43","2.85","-","-27.34","1269881@1739730750","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
10,"Sun Feb 16 2025 6:32:56 PM",1739730776,"ChangeUp","N","-13.58","38.59",74.09,1653.8,494.3,29.9,"05:00",1,-3.3,2.4,"-","-","-5.1","1.8","-3.87","2.33","5.47","2.17","-","72.61","1269881@1739730776","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
11,"Sun Feb 16 2025 6:33:08 PM",1739730788,"Fastball","N","-13.50","18.99",83.85,2019,1733.5,85.9,"01:50",1,13,15.1,"-","-","10.8","15.1","-5.28","-2.07","5.63","2.43",2.0940952,"-30.84","1269881@1739730788","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
12,"Sun Feb 16 2025 6:33:28 PM",1739730808,"Fastball","Y","-5.28","19.82",82.34,1936.8,1490.2,76.9,"01:46",1,12.2,13.6,"-","-","9.7","12.8","-4.54","-1.84","5.55","2.52","-","-39.70","1269881@1739730808","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
